iter	Logloss	Precision:use_weights=true	Precision:use_weights=false	Recall:use_weights=true	Recall:use_weights=false	F1:use_weights=true	F1:use_weights=false	Accuracy:use_weights=true	Accuracy:use_weights=false
165	0.6707448902	0.6643598616	0.4974093264	0.8523862375	0.8523862375	0.7467185221	0.6282208589	0.7108768036	0.6637069922
166	0.6706434328	0.6640692641	0.4970836034	0.8512763596	0.8512763596	0.7461089494	0.6276595745	0.7103218646	0.6633370329
167	0.670563833	0.6652230403	0.4983776768	0.8523862375	0.8523862375	0.7472634396	0.628992629	0.711709212	0.6648168701
168	0.6704313714	0.664644714	0.4977287476	0.8512763596	0.8512763596	0.7464720195	0.6281736282	0.7108768036	0.6640769515
169	0.6703106005	0.6657997399	0.4990253411	0.8523862375	0.8523862375	0.7476271599	0.6295081967	0.7122641509	0.6655567888
170	0.6701863885	0.6652211622	0.4983755686	0.8512763596	0.8512763596	0.746835443	0.6286885246	0.7114317425	0.6648168701
171	0.6700997987	0.6649328132	0.4980519481	0.8512763596	0.8512763596	0.746653687	0.6284309709	0.711154273	0.6644469108
172	0.6699870743	0.664644714	0.4977287476	0.8512763596	0.8512763596	0.7464720195	0.6281736282	0.7108768036	0.6640769515
173	0.6698587087	0.6632034632	0.4961139896	0.8501664817	0.8501664817	0.7451361868	0.6265848671	0.7092119867	0.662227155
174	0.6697278979	0.6629164864	0.4957928803	0.8501664817	0.8501664817	0.7449550207	0.6263286999	0.7089345172	0.6618571957
175	0.6696104848	0.6626297578	0.4954721863	0.8501664817	0.8501664817	0.7447739426	0.6260727421	0.7086570477	0.6614872364
176	0.669473038	0.6637781629	0.4967574578	0.8501664817	0.8501664817	0.7454987835	0.6270978305	0.7097669256	0.6629670736
177	0.6693674399	0.6632034632	0.4961139896	0.8501664817	0.8501664817	0.7451361868	0.6265848671	0.7092119867	0.662227155
178	0.6692552108	0.6632034632	0.4961139896	0.8501664817	0.8501664817	0.7451361868	0.6265848671	0.7092119867	0.662227155
179	0.6691335888	0.6634906886	0.4964355152	0.8501664817	0.8501664817	0.745317441	0.6268412439	0.7094894562	0.6625971143
180	0.6690116961	0.6632034632	0.4961139896	0.8501664817	0.8501664817	0.7451361868	0.6265848671	0.7092119867	0.662227155
181	0.6688871567	0.6629164864	0.4957928803	0.8501664817	0.8501664817	0.7449550207	0.6263286999	0.7089345172	0.6618571957
182	0.6687236226	0.6629164864	0.4957928803	0.8501664817	0.8501664817	0.7449550207	0.6263286999	0.7089345172	0.6618571957
183	0.6685773864	0.6634948097	0.4964401294	0.8512763596	0.8512763596	0.7457462324	0.6271463614	0.7097669256	0.6625971143
184	0.66845958	0.663207955	0.4961190168	0.8512763596	0.8512763596	0.7455650061	0.6268900695	0.7094894562	0.662227155
185	0.6683603741	0.6629164864	0.4957928803	0.8501664817	0.8501664817	0.7449550207	0.6263286999	0.7089345172	0.6618571957
186	0.6682158852	0.663207955	0.4961190168	0.8512763596	0.8512763596	0.7455650061	0.6268900695	0.7094894562	0.662227155
187	0.6681260904	0.6634948097	0.4964401294	0.8512763596	0.8512763596	0.7457462324	0.6271463614	0.7097669256	0.6625971143
188	0.6680289935	0.6637819126	0.496761658	0.8512763596	0.8512763596	0.7459275468	0.627402863	0.7100443951	0.6629670736
189	0.6679459188	0.6649328132	0.4980519481	0.8512763596	0.8512763596	0.746653687	0.6284309709	0.711154273	0.6644469108
190	0.6678306012	0.6655112652	0.4987012987	0.8523862375	0.8523862375	0.7474452555	0.6292503073	0.7119866815	0.6651868294
191	0.667686524	0.6646420824	0.497725796	0.8501664817	0.8501664817	0.7460433406	0.6278688525	0.7105993341	0.6640769515
192	0.6675555815	0.6649305556	0.4980494148	0.8501664817	0.8501664817	0.7462250365	0.6281262813	0.7108768036	0.6644469108
193	0.6674473267	0.6649305556	0.4980494148	0.8501664817	0.8501664817	0.7462250365	0.6281262813	0.7108768036	0.6644469108
194	0.6673536151	0.6652192792	0.4983734548	0.8501664817	0.8501664817	0.746406821	0.6283839212	0.711154273	0.6648168701
195	0.6672361924	0.6655097614	0.4986996099	0.8512763596	0.8512763596	0.7470172876	0.6289462895	0.711709212	0.6651868294
196	0.6671082014	0.6643538595	0.4974025974	0.8501664817	0.8501664817	0.7458617332	0.6276116346	0.7103218646	0.6637069922
197	0.6669778103	0.6637744035	0.4967532468	0.8490566038	0.8490566038	0.7450693937	0.6267922982	0.7094894562	0.6629670736
198	0.6669102732	0.6637744035	0.4967532468	0.8490566038	0.8490566038	0.7450693937	0.6267922982	0.7094894562	0.6629670736
199	0.6667924977	0.664928292	0.498046875	0.8490566038	0.8490566038	0.7457957592	0.6278210915	0.7105993341	0.6644469108
